206 BC,202 BC,Chu-Han contention in China,http://en.wikipedia.org//wiki/Chu-Han_contention,Han,http://en.wikipedia.org//wiki/Han_Dynasty,Western Chu,http://en.wikipedia.org//wiki/Western_Chu
205 BC,201 BC,Cretan War,http://en.wikipedia.org//wiki/Cretan_War,"Rhodes, Pergamum, Byzantium, Cyzicus, Athens, Knossos",http://en.wikipedia.org//wiki/Rhodes,"Macedon, Hierapytna, Olous, Aetolia, Spartan pirates, Acarnania",http://en.wikipedia.org//wiki/Macedon
195 BC,195 BC,Roman-Spartan War,http://en.wikipedia.org//wiki/Roman-Spartan_War,"Roman Republic, Achaean League, Macedon, Pergamum, Rhodes",http://en.wikipedia.org//wiki/Roman_Republic,Sparta,http://en.wikipedia.org//wiki/Sparta
191 BC,188 BC,Roman-Syrian War,http://en.wikipedia.org//wiki/Roman-Syrian_War,"Roman Republic, Achaean League, Macedon, Pergamum, Rhodes",http://en.wikipedia.org//wiki/Roman_Republic,"Seleucid Empire, Aetolian League, Athamania",http://en.wikipedia.org//wiki/Seleucid_Empire
191 BC,188 BC,Roman-Syrian War,http://en.wikipedia.org//wiki/Roman-Syrian_War,"Roman Republic, Achaean League, Macedon, Pergamum, Rhodes",http://en.wikipedia.org//wiki/Roman_Republic,"Seleucid Empire, Aetolian League, Athamania",http://en.wikipedia.org//wiki/Seleucid_Empire
189 BC,189 BC,Galatian War,http://en.wikipedia.org//wiki/Galatian_War,"Roman Republic, Pergamum",http://en.wikipedia.org//wiki/Roman_Republic,Galatia,http://en.wikipedia.org//wiki/Galatia
135 BC,71 BC,Roman Servile Wars,http://en.wikipedia.org//wiki/Roman_Servile_Wars,,,,
135 BC,132 BC,"First Servile War
Part of the Roman Servile Wars",http://en.wikipedia.org//wiki/First_Servile_War,Roman Republic,http://en.wikipedia.org//wiki/Roman_Republic,Slaves of Sicily,http://en.wikipedia.org//wiki/Sicily
104 BC,100 BC,"Second Servile War
Part of the Roman Servile Wars",http://en.wikipedia.org//wiki/Second_Servile_War,Roman Republic,http://en.wikipedia.org//wiki/Roman_Republic,Slaves of Sicily,http://en.wikipedia.org//wiki/Sicily
73 BC,71 BC,"Third Servile War
or Spartacist Rebellion
Part of the Roman Servile Wars",http://en.wikipedia.org//wiki/Third_Servile_War,Roman Republic,http://en.wikipedia.org//wiki/Roman_Republic,Army of escaped slaves under Spartacus,http://en.wikipedia.org//wiki/Spartacus
133 BC,89 BC,HanXiongnu War,http://en.wikipedia.org//wiki/Han%E2%80%93Xiongnu_War,Han empire,http://en.wikipedia.org//wiki/Han_empire,Xiongnu,http://en.wikipedia.org//wiki/Xiongnu
